[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SELECT * FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000315s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: UPDATE `nnld_fck` SET `day_feng`=0,_times=1465833600 WHERE _times !=1465833600 [ RunTime:0.005615s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SELECT * FROM `nnld_fee` LIMIT 1   [ RunTime:0.000262s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SELECT `prem` FROM `nnld_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000175s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SHOW COLUMNS FROM `nnld_msg` [ RunTime:0.005775s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_msg` WHERE ( `s_uid` = '1' ) AND ( `s_read` = 0 ) AND ( `s_del` = 0 ) LIMIT 1   [ RunTime:0.000265s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | INFO: Tag[ view_template ] --START--
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000489s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000525s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | INFO: Tag[ view_parse ] --START--
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.050828s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.050902s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Tag[ view_filter ] --START--
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000354s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000268s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000180s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000427s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001356s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Tag[ view_end ] --START--
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000318s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000368s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | INFO: Tag[ route_check ] --START--
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | INFO: Run CheckRoute Behavior [ RunTime:0.000751s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.000821s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | INFO: Tag[ app_begin ] --START--
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000359s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000395s ]
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 217 行.
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 217 行.
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 225 行.
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 225 行.
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-14T15:58:04+08:00 ] /T050/index.php/Public/main | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.027130s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `user_id` = 'ldrj1688' ) LIMIT 1   [ RunTime:0.000591s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.016338s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000334s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_bonus` [ RunTime:0.010509s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_bonus` WHERE ( `uid` = '1' ) ORDER BY id desc LIMIT 10   [ RunTime:0.000770s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_form` [ RunTime:0.009880s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_form` WHERE ( `status` = 1 ) ORDER BY baile desc,id desc LIMIT 12   [ RunTime:0.000478s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_fck` WHERE ( `re_id` = '1' ) AND ( `is_pay` = 1 ) LIMIT 1   [ RunTime:0.003033s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_msg` [ RunTime:0.004772s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_msg` WHERE ( `s_uid` = '1' ) AND ( `s_read` = 0 ) LIMIT 1   [ RunTime:0.000205s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_fck` WHERE id=1 LIMIT 1   [ RunTime:0.000878s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_fck2` [ RunTime:0.004870s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_fck2` WHERE uid=1  [ RunTime:0.000216s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000330s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT `s4`,`s10`,`str28` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000200s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT `str7`,`str21`,`str22`,`str23`,`b_money` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000198s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_plan` [ RunTime:0.006355s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_plan` WHERE ( `id` = 2 ) LIMIT 1   [ RunTime:0.000244s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_plan` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.000202s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_product` [ RunTime:0.006788s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_product` WHERE yc_cp=0 ORDER BY id desc LIMIT 3   [ RunTime:0.000230s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_tupian` [ RunTime:0.002266s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT `image` FROM `nnld_tupian` WHERE ( `ptype` = 0 ) ORDER BY create_time asc  [ RunTime:0.000192s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_img` [ RunTime:0.006331s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_img` ORDER BY id desc LIMIT 1   [ RunTime:0.000357s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | SQL: SELECT * FROM `nnld_product`  [ RunTime:0.000283s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_template ] --START--
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Run LocationTemplate Behavior [ RunTime:0.000998s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.001054s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_parse ] --START--
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | NOTIC: [8] Undefined variable: count_msg b67c5a086845d7b95086b0883e864e54.php 第 51 行.
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | NOTIC: [8] Use of undefined constant info_count - assumed 'info_count' b67c5a086845d7b95086b0883e864e54.php 第 85 行.
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | NOTIC: [2] file_get_contents() [<a href='function.file-get-contents'>function.file-get-contents</a>]: Unable to find the wrapper &quot;https&quot; - did you forget to enable it when you configured PHP? b67c5a086845d7b95086b0883e864e54.php 第 163 行.
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | NOTIC: [2] file_get_contents(https://www.allcoin.com/) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: Invalid argument b67c5a086845d7b95086b0883e864e54.php 第 163 行.
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Run ParseTemplate Behavior [ RunTime:0.630463s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.630555s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Tag[ view_filter ] --START--
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Run ContentReplace Behavior [ RunTime:0.000741s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Run TokenBuild Behavior [ RunTime:0.000604s ]
[ 2016-06-14T15:58:05+08:00 ] /T050/index.php/Public/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000399s ]
