[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | INFO: Tag[ view_parse ] --START--
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | NOTIC: [8] Undefined variable: count_msg b67c5a086845d7b95086b0883e864e54.php 第 51 行.
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | NOTIC: [8] Use of undefined constant info_count - assumed 'info_count' b67c5a086845d7b95086b0883e864e54.php 第 85 行.
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | NOTIC: [2] file_get_contents() [<a href='function.file-get-contents'>function.file-get-contents</a>]: Unable to find the wrapper &quot;https&quot; - did you forget to enable it when you configured PHP? b67c5a086845d7b95086b0883e864e54.php 第 163 行.
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | NOTIC: [2] file_get_contents(https://www.allcoin.com/) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: Invalid argument b67c5a086845d7b95086b0883e864e54.php 第 163 行.
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Run ParseTemplate Behavior [ RunTime:0.790620s ]
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Tag[ view_parse ] --END-- [ RunTime:0.790756s ]
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Tag[ view_filter ] --START--
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Run ContentReplace Behavior [ RunTime:0.001340s ]
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Run TokenBuild Behavior [ RunTime:0.001091s ]
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000752s ]
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Run ShowRuntime Behavior [ RunTime:0.001129s ]
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004689s ]
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Tag[ view_end ] --START--
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Run ShowPageTrace Behavior [ RunTime:0.001185s ]
[ 2016-06-15T09:34:37+08:00 ] /t050/index.php/Public/main | INFO: Tag[ view_end ] --END-- [ RunTime:0.001325s ]
[ 2016-06-15T09:35:17+08:00 ] /t050/index.php/Transfer/codys/ | INFO: Tag[ route_check ] --START--
[ 2016-06-15T09:35:17+08:00 ] /t050/index.php/Transfer/codys/ | INFO: Run CheckRoute Behavior [ RunTime:0.000488s ]
[ 2016-06-15T09:35:17+08:00 ] /t050/index.php/Transfer/codys/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000580s ]
[ 2016-06-15T09:35:17+08:00 ] /t050/index.php/Transfer/codys/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-15T09:35:17+08:00 ] /t050/index.php/Transfer/codys/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000299s ]
[ 2016-06-15T09:35:17+08:00 ] /t050/index.php/Transfer/codys/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000333s ]
